node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
139,,-87.613447,41.640887,,,0,"POINT (-87.613447 41.640887)",716363548,,,,,,
140,,-87.613281,41.640827,,,0,"POINT (-87.613281 41.640827)",716363549,,,,,,
141,,-87.613107,41.640779,,,0,"POINT (-87.613107 41.640779)",716363550,,,,,,
142,,-87.612968,41.640752,,,0,"POINT (-87.612968 41.640752)",716363551,railway_crossing,,,,,
143,,-87.618868,41.646109,,,0,"POINT (-87.618868 41.646109)",716363578,switch,,,,,
144,,-87.618595,41.645820,,,0,"POINT (-87.618595 41.645820)",716363580,,,,,,
145,,-87.618434,41.645638,,,0,"POINT (-87.618434 41.645638)",716363581,,,,,,
146,,-87.618329,41.645495,,,0,"POINT (-87.618329 41.645495)",716363582,,,,,,
147,,-87.618152,41.645187,,,0,"POINT (-87.618152 41.645187)",716363583,,,,,,
148,,-87.618013,41.644984,,,0,"POINT (-87.618013 41.644984)",716363584,,,,,,
149,,-87.617228,41.644213,,,0,"POINT (-87.617228 41.644213)",718464290,level_crossing,,,,,
150,,-87.617620,41.644585,,,0,"POINT (-87.617620 41.644585)",718464562,level_crossing,,,,,
151,,-87.621276,41.650309,,,0,"POINT (-87.621276 41.650309)",718467228,,,,,,
152,,-87.622027,41.648896,,,0,"POINT (-87.622027 41.648896)",718467229,,,,,,
153,,-87.622174,41.648620,,,0,"POINT (-87.622174 41.648620)",718467231,,,,,,
154,,-87.622608,41.647793,,,0,"POINT (-87.622608 41.647793)",718467233,,,,,,
155,,-87.623192,41.646646,,,0,"POINT (-87.623192 41.646646)",718467235,,,,,,
156,,-87.624033,41.645069,,,0,"POINT (-87.624033 41.645069)",718467236,,,,,,
157,,-87.624559,41.644092,,,0,"POINT (-87.624559 41.644092)",718467238,,,,,,
158,,-87.621233,41.650297,,,0,"POINT (-87.621233 41.650297)",718477205,,,,,,
159,,-87.624510,41.644080,,,0,"POINT (-87.624510 41.644080)",718477255,,,,,,
160,,-87.624101,41.644846,,,0,"POINT (-87.624101 41.644846)",718477257,,,,,,
161,,-87.623684,41.645623,,,0,"POINT (-87.623684 41.645623)",718477259,,,,,,
162,,-87.623188,41.646557,,,0,"POINT (-87.623188 41.646557)",718477261,,,,,,
163,,-87.622609,41.647682,,,0,"POINT (-87.622609 41.647682)",718477262,,,,,,
164,,-87.622132,41.648603,,,0,"POINT (-87.622132 41.648603)",718477264,,,,,,
165,,-87.621981,41.648886,,,0,"POINT (-87.621981 41.648886)",718477269,,,,,,
166,,-87.621537,41.649726,,,0,"POINT (-87.621537 41.649726)",718477271,,,,,,
167,,-87.621096,41.650260,,,0,"POINT (-87.621096 41.650260)",718505207,,,,,,
168,,-87.621143,41.650271,,,0,"POINT (-87.621143 41.650271)",718505209,,,,,,
169,,-87.621471,41.649656,,,0,"POINT (-87.621471 41.649656)",718505210,,,,,,
170,,-87.621918,41.648819,,,0,"POINT (-87.621918 41.648819)",718505211,,,,,,
171,,-87.624419,41.644056,,,0,"POINT (-87.624419 41.644056)",718505231,,,,,,
172,,-87.624106,41.644644,,,0,"POINT (-87.624106 41.644644)",718505232,,,,,,
173,,-87.623811,41.645189,,,0,"POINT (-87.623811 41.645189)",718505233,,,,,,
174,,-87.623231,41.646275,,,0,"POINT (-87.623231 41.646275)",718505234,,,,,,
175,,-87.622612,41.647421,,,0,"POINT (-87.622612 41.647421)",718505235,,,,,,
176,,-87.622222,41.648150,,,0,"POINT (-87.622222 41.648150)",718505236,,,,,,
177,,-87.622013,41.648543,,,0,"POINT (-87.622013 41.648543)",718505237,,,,,,
178,,-87.622056,41.648560,,,0,"POINT (-87.622056 41.648560)",718505238,,,,,,
179,,-87.622617,41.647515,,,0,"POINT (-87.622617 41.647515)",718505239,,,,,,
180,,-87.623212,41.646412,,,0,"POINT (-87.623212 41.646412)",718505240,,,,,,
181,,-87.623581,41.645724,,,0,"POINT (-87.623581 41.645724)",718505241,,,,,,
182,,-87.623948,41.645032,,,0,"POINT (-87.623948 41.645032)",718505242,,,,,,
183,,-87.624465,41.644073,,,0,"POINT (-87.624465 41.644073)",718505243,,,,,,
184,,-87.621873,41.648807,,,0,"POINT (-87.621873 41.648807)",718505244,,,,,,
