full_id,osm_id,osm_type,highway,name,name:en,name:zh,oneway,name:ru,name:vi,name:zh-Hans,name:zh_pinyin,lanes,int_name,surface,lit,bridge,layer,trolley_wire,ref,alt_name,alt_name:en,bicycle,junction,cycleway:right,designation,name:fr,foot,maxspeed,maxheight,horse,oneway:hour_off,oneway:hour_on,oneway:psv,alt_name:zh_pinyin,wikipedia,cycleway,maxaxleload,maxweight,name:zh-Hant,bridge:name,access,psv,roundabout,local_name,tunnel,cutting,bridge_name,int_ref,tunnel:name,motor_vehicle
w175425324,"175425324",way,primary,安定门外大街,Andingmenwai Street,,yes,,,,,,Andingmen Waijie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175425325,"175425325",way,primary,安定门外大街,Outer Andingmen Str,,yes,,,,,,Andingmen Waijie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175590393,"175590393",way,primary,中关村南大街,South Zhongguancun Street,,yes,,,,,,Zhongguancun Nandajie,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w175598131,"175598131",way,primary,东长安街,East Chang'an Street,东长安街,yes,улица Дун-Чанъаньцзе,Đường Đông Trường An,东长安街,Dōng-Cháng'ān-jiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175598132,"175598132",way,primary,交道口南大街,Jiaodaokou South Street,,yes,,,,Jiāodàokǒu Nándàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175598133,"175598133",way,primary,交道口南大街,S. Jiaodaokou Str,,yes,,,,Jiāodàokǒu Nándàjiē,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175598144,"175598144",way,primary,西长安街,West Chang'an Street,西长安街,yes,улица Си-Чанъаньцзе,,西长安街,Xī-Cháng'ān-jiē,,,,,,,,,,,,,,,Rue Cháng'ān Ouest,,,,,,,,,,,,,,,,,,,,,,,,
w175598146,"175598146",way,primary,西长安街,West Chang'an Street,西长安街,yes,улица Си-Чанъаньцзе,,西长安街,Xī-Cháng'ān-jiē,,,,,,,,,,,,,,,Rue Cháng'ān Ouest,,,,,,,,,,,,,,,,,,,,,,,,
w175598167,"175598167",way,primary,东四十条桥,,,yes,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175598175,"175598175",way,primary,建国门桥,Jianguomen Bridge,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w175616055,"175616055",way,primary,西安门大街,,,,,,,,,,asphalt,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w177353848,"177353848",way,primary,G6辅路,,,yes,,,,,,,,,,,,S216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w177353854,"177353854",way,primary,学清路,Xueqing Road,学清路,yes,,,,xuéqīng lù,,,,,,,,,,,,,,,Route Xuéqīng,,,,,,,,,,,,,,,,,,,,,,,,
w178332273,"178332273",way,primary,广安路,Guanan Street,,yes,,,,,,Guang'an Lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178503357,"178503357",way,primary,大件路,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w178515553,"178515553",way,primary,大件路,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178515555,"178515555",way,primary,大件路,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178515571,"178515571",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515577,"178515577",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515580,"178515580",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515584,"178515584",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515587,"178515587",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515595,"178515595",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178515598,"178515598",way,primary,大石河2号桥,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178515600,"178515600",way,primary,大石河2号桥,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178520222,"178520222",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,"4.5",,,,,,,,,,,,,,,,,,,,,
w178520224,"178520224",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,"4.5",,,,,,,,,,,,,,,,,,,,,
w178520234,"178520234",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178520235,"178520235",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178520238,"178520238",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178520241,"178520241",way,primary,大件路,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w178520243,"178520243",way,primary,大件路,,,yes,,,,,,,,,,,,S326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178520244,"178520244",way,primary,大件路,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w178520247,"178520247",way,primary,大件路,,,yes,,,,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,
w178690111,"178690111",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178690115,"178690115",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178690120,"178690120",way,primary,,,,yes,,,,,,,,,yes,"1",,,,,,,,,,,,,,,,,,,,"14","55",,,,,,,,,,,,
w178690140,"178690140",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178690142,"178690142",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w178690580,"178690580",way,primary,大件路,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w182553977,"182553977",way,primary,,,,,,,,,,,,,yes,"1",,S210,,,,,,,,,,"46",,,,,,,,"14",,,,,,,,,,,,,
w182553979,"182553979",way,primary,军温路,,,,,,,,,,,,,,,S210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w182553987,"182553987",way,primary,军温路,,,,,,,,,,,,,,,S210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w182561043,"182561043",way,primary,,,,,,,,,,,,,,,,S210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w182646274,"182646274",way,primary,,,,,,,,,,,,,,,,S210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w182696181,"182696181",way,primary,石担路支线,,,,,,,,,,,,yes,"1",,S209,,,,,,,,,,,,,,,,,track,,,,,,,,,,,,,,
w182696182,"182696182",way,primary,石担路支线,,,,,,,,,,,,yes,"1",,S209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
