name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type,link_type_name,geometry
9000 South,318,11255,5118,1,0.1912,2,32,847,1,,"LINESTRING(-111.907886 40.587813,-111.90426 40.588014)"
Connector,319,11257,1404,1,0.1389,7,20,10000,2,,"LINESTRING(-111.908371 40.569754,-111.908153 40.57176)"
9800 South,320,11257,5175,1,0.2117,1,24,633,1,,"LINESTRING(-111.908371 40.569754,-111.904348 40.569696)"
9800 South,321,11257,11184,1,0.335,1,24,633,1,,"LINESTRING(-111.908371 40.569754,-111.91377 40.572331)"
Connector,322,11259,1356,1,0.3823,7,21,10000,2,,"LINESTRING(-111.926737 40.562009,-111.924114 40.567177)"
South Jordan,323,11259,5214,1,0.1306,2,36,814,1,,"LINESTRING(-111.926737 40.562009,-111.929207 40.5622)"
South Jordan,324,11259,5587,1,0.4105,2,36,814,1,,"LINESTRING(-111.926737 40.562009,-111.91926 40.560309)"
Connector,325,11261,1352,1,0.3863,7,21,10000,2,,"LINESTRING(-111.934612 40.562298,-111.933963 40.567876)"
Connector,326,11261,1397,1,0.6112,7,21,10000,2,,"LINESTRING(-111.934612 40.562298,-111.936589 40.553565)"
South Jordan,327,11261,5208,1,0.2147,2,36,814,1,,"LINESTRING(-111.934612 40.562298,-111.938693 40.562285)"
South Jordan,328,11261,5214,1,0.2844,2,36,814,1,,"LINESTRING(-111.934612 40.562298,-111.929207 40.5622)"
1300 West,329,11281,5214,1,0.4441,1,29,666,1,,"LINESTRING(-111.929153 40.555761,-111.929207 40.5622)"
10400 South,330,11282,5208,1,0.2666,1,35,857,1,,"LINESTRING(-111.943762 40.562247,-111.938693 40.562285)"
Connector,331,11489,1360,1,0.2373,7,20,10000,2,,"LINESTRING(-111.902652 40.580647,-111.901834 40.584029)"
9400 Sout,332,11489,7984,1,0.1026,1,30,814,1,,"LINESTRING(-111.902652 40.580647,-111.900701 40.580648)"
9400 Sout,333,11489,8172,1,0.1499,1,35,857,1,,"LINESTRING(-111.902652 40.580647,-111.905503 40.580699)"
300 West,334,11507,3689,1,0.094,2,25,601,1,,"LINESTRING(-111.902527 40.562393,-111.900748 40.562521)"
300 West,335,11507,5216,1,0.2346,2,25,601,1,,"LINESTRING(-111.902527 40.562393,-111.902774 40.558997)"
700 West,336,11763,5730,1,0.1123,1,24,633,1,,"LINESTRING(-111.905488 40.584909,-111.905499 40.583282)"
700 West,337,11763,7210,1,0.0747,1,24,633,1,,"LINESTRING(-111.905488 40.584909,-111.904821 40.585866)"
1300 West,338,11827,5440,1,0.18981,1,32,666,1,,"LINESTRING(-111.929192 40.626782,-111.929192 40.623484)"
500 West,339,11910,5118,1,0.1358,1,24,633,1,,"LINESTRING(-111.904258 40.589983,-111.90426 40.588014)"
500 West,340,11910,10853,1,0.166,1,24,633,1,,"LINESTRING(-111.904258 40.589983,-111.904442 40.592385)"
Riverside,341,1358,3000,1,0.12113,1,35,600,1,,"LINESTRING(-111.911502 40.583522,-111.916207 40.5812)"
Riverside,342,1358,5117,1,0.12113,1,35,600,1,,"LINESTRING(-111.911502 40.583522,-111.910225 40.587717)"
Riverside,343,5117,1358,1,0.12113,1,35,600,1,,"LINESTRING(-111.910225 40.587717,-111.911502 40.583522)"
Riverside,344,3000,1358,1,0.12113,1,35,600,1,,"LINESTRING(-111.916207 40.5812,-111.911502 40.583522)"
Jordan Gateway,345,6185,5175,1,0.12113,2,35,600,1,,"LINESTRING(-111.905514 40.575754,-111.904348 40.569696)"
Jordan Gateway,346,5175,6185,1,0.12113,2,35,600,1,,"LINESTRING(-111.904348 40.569696,-111.905514 40.575754)"
9400 South,347,3000,3001,1,0.12113,1,35,600,1,,"LINESTRING(-111.916207 40.5812,-111.909573 40.58079)"
9400 South,348,3001,3000,1,0.12113,1,35,600,1,,"LINESTRING(-111.909573 40.58079,-111.916207 40.5812)"
9400 South,349,3001,8172,1,0.12113,1,35,600,1,,"LINESTRING(-111.909573 40.58079,-111.905503 40.580699)"
9400 South,350,8172,3000,1,0.12113,1,35,600,1,,"LINESTRING(-111.905503 40.580699,-111.916207 40.5812)"
Connector,351,3001,1359,1,0.12113,7,21,10000,2,,"LINESTRING(-111.909573 40.58079,-111.911824 40.577722)"
Connector,352,1359,3001,1,0.12113,7,21,10000,2,,"LINESTRING(-111.911824 40.577722,-111.909573 40.58079)"
Jordan Gateway,353,5175,11507,1,0.12113,2,35,600,1,,"LINESTRING(-111.904348 40.569696,-111.902527 40.562393)"
Jordan Gateway,354,11507,5175,1,0.12113,2,35,600,1,,"LINESTRING(-111.902527 40.562393,-111.904348 40.569696)"
Connector,355,1358,3002,1,0.12113,7,21,10000,2,,"LINESTRING(-111.911502 40.583522,-111.91126 40.581966)"
Connector,356,3002,1358,1,0.12113,7,21,10000,2,,"LINESTRING(-111.91126 40.581966,-111.911502 40.583522)"
Connector,357,1323,11161,1,0.12113,7,21,10000,2,,"LINESTRING(-111.921418 40.591609,-111.929272 40.591047)"
Connector,358,11161,1323,1,0.12113,7,21,10000,2,,"LINESTRING(-111.929272 40.591047,-111.921418 40.591609)"
Connector,359,1319,11146,1,0.12113,7,21,10000,2,,"LINESTRING(-111.934408 40.607297,-111.938858 40.605898)"
Connector,360,11146,1319,1,0.12113,7,21,10000,2,,"LINESTRING(-111.938858 40.605898,-111.934408 40.607297)"
Connector,361,1319,11147,1,0.12113,7,21,10000,2,,"LINESTRING(-111.934408 40.607297,-111.929235 40.607691)"
Connector,362,11147,1319,1,0.12113,7,21,10000,2,,"LINESTRING(-111.929235 40.607691,-111.934408 40.607297)"
Connector,363,1322,11160,1,0.12113,7,21,10000,2,,"LINESTRING(-111.934349 40.591006,-111.938878 40.590844)"
Connector,364,11160,1322,1,0.12113,7,21,10000,2,,"LINESTRING(-111.938878 40.590844,-111.934349 40.591006)"
Connector,365,1360,5730,1,0.12113,7,21,10000,2,,"LINESTRING(-111.901834 40.584029,-111.905499 40.583282)"
Connector,366,5730,1360,1,0.12113,7,21,10000,2,,"LINESTRING(-111.905499 40.583282,-111.901834 40.584029)"
9000 South,367,5592,1,1,0.12113,2,32,847,1,,"LINESTRING(-111.922175 40.587742,-111.920177 40.587738)"
9000 South,368,1,2,1,0.12113,2,32,847,1,,"LINESTRING(-111.920177 40.587738,-111.918417 40.587734)"
9000 South,369,2,3,1,0.12113,2,32,847,1,,"LINESTRING(-111.918417 40.587734,-111.916477 40.58773)"
9000 South,370,3,4,1,0.12113,2,32,847,1,,"LINESTRING(-111.916477 40.58773,-111.914379 40.587726)"
9000 South,371,4,5,1,0.12113,2,32,847,1,,"LINESTRING(-111.914379 40.587726,-111.912416 40.587722)"
9000 South,372,5,5117,1,0.12113,2,32,847,1,,"LINESTRING(-111.912416 40.587722,-111.910225 40.587717)"
9000 South,373,5117,5,1,0.12113,2,32,847,1,,"LINESTRING(-111.910225 40.587717,-111.912416 40.587722)"
9000 South,374,5,4,1,0.12113,2,32,847,1,,"LINESTRING(-111.912416 40.587722,-111.914379 40.587726)"
9000 South,375,4,3,1,0.12113,2,32,847,1,,"LINESTRING(-111.914379 40.587726,-111.916477 40.58773)"
9000 South,376,3,2,1,0.12113,2,32,847,1,,"LINESTRING(-111.916477 40.58773,-111.918417 40.587734)"
9000 South,377,2,1,1,0.12113,2,32,847,1,,"LINESTRING(-111.918417 40.587734,-111.920177 40.587738)"
9000 South,378,1,5592,1,0.12113,2,32,847,1,,"LINESTRING(-111.920177 40.587738,-111.922175 40.587742)"
