name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,2992,42516081,turning_circle,,,,residential,2,-111.8665978,33.5887512,,,
,2993,348758859,turning_circle,,,,residential,2,-111.7986516,33.5893747,,,
,2994,41603856,,,,,residential,0,-111.8740369,33.5890215,,,
,2995,5200207760,,,,,residential,0,-111.873947,33.5890221,,,
,2996,42516353,turning_circle,,,,residential,2,-111.872547,33.5890975,,,
,2997,42516380,turning_circle,,,,residential,2,-111.8777202,33.5893405,,,
,2998,42516385,turning_circle,,,,residential,2,-111.8745888,33.5892673,,,
,2999,42395236,,,,,residential,0,-111.8048082,33.5891447,,,
,3000,42516392,turning_circle,,,,residential,2,-111.8035925,33.5890661,,,
,3001,1182252696,,,,,residential,2,-111.8566627,33.6336951,,,
,3002,5088091827,,,,,residential,0,-111.85101,33.5810353,,,
,3003,2222949882,,,,,tertiary,0,-111.8436974,33.5761678,,,
,3004,2097554971,,,,,tertiary,0,-111.8436968,33.5784928,,,
,3005,5088115160,,,,,tertiary,0,-111.8437107,33.5789907,,,
,3006,42517895,,,,,residential,0,-111.8428408,33.6328013,,,
,3007,346574443,,,,,residential,2,-111.8423671,33.6337626,,,
,3008,42517951,,,,,residential,0,-111.8436082,33.5944042,,,
,3009,5852324478,,,,,residential,0,-111.8425971,33.5963952,,,
,3010,42517980,,,,,residential,0,-111.8413333,33.571863,,,
,3011,42517982,,,,,residential,0,-111.8414309,33.5714956,,,
,3012,41523128,,,,,tertiary,0,-111.8424551,33.5912144,,,
,3013,42521317,,,,,residential,0,-111.8708252,33.5742788,,,
,3014,42521337,,,,,residential,0,-111.8702134,33.5752637,,,
,3015,41758777,,,,,tertiary,0,-111.8870241,33.5897895,,,
,3016,2618771452,,,,,tertiary,0,-111.8870339,33.611622,,,
,3017,42358207,,,,,tertiary,0,-111.8870396,33.6115102,,,
,3018,42522475,,,,,tertiary,0,-111.8870413,33.6083242,,,
,3019,41857667,stop,,,,tertiary,0,-111.8870318,33.604299,,,
,3020,358078979,,,,,tertiary,0,-111.8870261,33.5984713,,,
,3021,5105141970,,,,,tertiary,0,-111.8870262,33.5984068,,,
,3022,5215916212,,,,,tertiary,0,-111.8870302,33.5975411,,,
,3025,42522770,turning_circle,,,,residential,2,-111.8871906,33.5946346,,,
,3026,5214623986,,,,,tertiary,0,-111.8868571,33.6192673,,,
,3027,357806602,,,,,tertiary,0,-111.8867828,33.6271896,,,
,3028,42340883,,,,,residential,0,-111.8177128,33.5867623,,,
,3029,41543062,,,,,residential,0,-111.8177127,33.5896337,,,
,3030,9181179756,,,,,residential,0,-111.8179754,33.5912662,,,
,3031,5928281254,,,,,residential,0,-111.8179809,33.591317,,,
,3032,42531097,turning_circle,,,,residential,0,-111.8634216,33.5793484,,,
,3033,42531115,,,,,residential,0,-111.8625497,33.5792876,,,
,3034,42531155,turning_circle,,,,residential,2,-111.8671415,33.5806803,,,
,3035,41605921,,,,,residential,0,-111.8658592,33.580177,,,
,3036,41592692,,,,,residential,0,-111.7894754,33.5791012,,,
,3037,351913483,turning_circle,,,,residential,2,-111.8090439,33.5762497,,,
,3038,42532723,turning_circle,,,,residential,2,-111.808234,33.5705223,,,
,3039,42532728,turning_circle,,,,residential,2,-111.808169,33.5694937,,,
,3040,2222923914,,,,,residential,0,-111.8724364,33.5735611,,,
,3041,8972042671,,,,,residential,0,-111.8723223,33.5740374,,,
,3042,42532786,,,,,residential,0,-111.8722118,33.5740879,,,
,3043,2222923965,,,,,residential,0,-111.872062,33.5740958,,,
,3044,42532796,,,,,residential,0,-111.8715108,33.5742683,,,
,3045,9173473731,,,,,residential,0,-111.8665997,33.5920868,,,
